subj	cond	item	value	region	Xstart	Xend	Ystart	Yend	fixationtype	order	questionRT	questionAcc
013	23	74	204	1	0	17	0	0	rp	113	NA	NA
013	23	74	0	1	0	17	0	0	pr	113	NA	NA
013	23	74	0	1	0	17	0	0	rr	113	NA	NA
013	23	74	204	1	0	17	0	0	tt	113	NA	NA
013	23	74	232	2	17	23	0	0	ff	113	NA	NA
013	23	74	232	2	17	23	0	0	fp	113	NA	NA
013	23	74	232	2	17	23	0	0	rp	113	NA	NA
013	23	74	0	2	17	23	0	0	pr	113	NA	NA
013	23	74	0	2	17	23	0	0	rr	113	NA	NA
013	23	74	232	2	17	23	0	0	tt	113	NA	NA
013	23	74	212	3	23	48	0	0	ff	113	NA	NA
013	23	74	472	3	23	48	0	0	fp	113	NA	NA
013	23	74	472	3	23	48	0	0	rp	113	NA	NA
013	23	74	0	3	23	48	0	0	pr	113	NA	NA
013	23	74	0	3	23	48	0	0	rr	113	NA	NA
013	23	74	472	3	23	48	0	0	tt	113	NA	NA
013	22	89	157	1	0	19	0	0	ff	131	NA	NA
013	22	89	361	1	0	19	0	0	fp	131	NA	NA
013	22	89	361	1	0	19	0	0	rp	131	NA	NA
013	22	89	0	1	0	19	0	0	pr	131	NA	NA
013	22	89	150	1	0	19	0	0	rr	131	NA	NA
013	22	89	511	1	0	19	0	0	tt	131	NA	NA
013	22	89	206	2	19	24	0	0	ff	131	NA	NA
013	22	89	206	2	19	24	0	0	fp	131	NA	NA
013	22	89	206	2	19	24	0	0	rp	131	NA	NA
013	22	89	0	2	19	24	0	0	pr	131	NA	NA
013	22	89	0	2	19	24	0	0	rr	131	NA	NA
013	22	89	206	2	19	24	0	0	tt	131	NA	NA
013	22	89	684	3	24	49	0	0	ff	131	NA	NA
013	22	89	876	3	24	49	0	0	fp	131	NA	NA
013	22	89	1412	3	24	49	0	0	rp	131	NA	NA
013	22	89	1	3	24	49	0	0	pr	131	NA	NA
013	22	89	386	3	24	49	0	0	rr	131	NA	NA
013	22	89	1262	3	24	49	0	0	tt	131	NA	NA
013	23	82	292	1	0	16	0	0	ff	147	NA	NA
013	23	82	914	1	0	16	0	0	fp	147	NA	NA
013	23	82	914	1	0	16	0	0	rp	147	NA	NA
013	23	82	0	1	0	16	0	0	pr	147	NA	NA
013	23	82	0	1	0	16	0	0	rr	147	NA	NA
013	23	82	914	1	0	16	0	0	tt	147	NA	NA
013	23	82	NA	2	16	23	0	0	ff	147	NA	NA
013	23	82	NA	2	16	23	0	0	fp	147	NA	NA
013	23	82	NA	2	16	23	0	0	rp	147	NA	NA
013	23	82	NA	2	16	23	0	0	pr	147	NA	NA
013	23	82	NA	2	16	23	0	0	rr	147	NA	NA
013	23	82	NA	2	16	23	0	0	tt	147	NA	NA
013	23	82	218	3	23	50	0	0	ff	147	NA	NA
013	23	82	1376	3	23	50	0	0	fp	147	NA	NA
013	23	82	1376	3	23	50	0	0	rp	147	NA	NA
013	23	82	0	3	23	50	0	0	pr	147	NA	NA
013	23	82	0	3	23	50	0	0	rr	147	NA	NA
013	23	82	1376	3	23	50	0	0	tt	147	NA	NA
013	21	96	347	1	0	15	0	0	ff	149	NA	NA
013	21	96	505	1	0	15	0	0	fp	149	NA	NA
013	21	96	505	1	0	15	0	0	rp	149	NA	NA
013	21	96	0	1	0	15	0	0	pr	149	NA	NA
013	21	96	0	1	0	15	0	0	rr	149	NA	NA
013	21	96	505	1	0	15	0	0	tt	149	NA	NA
013	21	96	NA	2	15	21	0	0	ff	149	NA	NA
013	21	96	NA	2	15	21	0	0	fp	149	NA	NA
013	21	96	NA	2	15	21	0	0	rp	149	NA	NA
013	21	96	NA	2	15	21	0	0	pr	149	NA	NA
013	21	96	NA	2	15	21	0	0	rr	149	NA	NA
013	21	96	NA	2	15	21	0	0	tt	149	NA	NA
013	21	96	358	3	21	42	0	0	ff	149	NA	NA
013	21	96	738	3	21	42	0	0	fp	149	NA	NA
013	21	96	738	3	21	42	0	0	rp	149	NA	NA
013	21	96	0	3	21	42	0	0	pr	149	NA	NA
013	21	96	0	3	21	42	0	0	rr	149	NA	NA
013	21	96	738	3	21	42	0	0	tt	149	NA	NA
013	23	90	234	1	0	17	0	0	ff	173	NA	NA
013	23	90	234	1	0	17	0	0	fp	173	NA	NA
013	23	90	234	1	0	17	0	0	rp	173	NA	NA
013	23	90	0	1	0	17	0	0	pr	173	NA	NA
013	23	90	312	1	0	17	0	0	rr	173	NA	NA
013	23	90	546	1	0	17	0	0	tt	173	NA	NA
013	23	90	232	2	17	23	0	0	ff	173	NA	NA
013	23	90	232	2	17	23	0	0	fp	173	NA	NA
013	23	90	232	2	17	23	0	0	rp	173	NA	NA
013	23	90	0	2	17	23	0	0	pr	173	NA	NA
013	23	90	0	2	17	23	0	0	rr	173	NA	NA
013	23	90	232	2	17	23	0	0	tt	173	NA	NA
013	23	90	214	3	23	48	0	0	ff	173	NA	NA
013	23	90	818	3	23	48	0	0	fp	173	NA	NA
013	23	90	1130	3	23	48	0	0	rp	173	NA	NA
013	23	90	1	3	23	48	0	0	pr	173	NA	NA
013	23	90	0	3	23	48	0	0	rr	173	NA	NA
013	23	90	818	3	23	48	0	0	tt	173	NA	NA
013	24	91	177	1	0	19	0	0	ff	181	NA	NA
013	24	91	489	1	0	19	0	0	fp	181	NA	NA
